English,Lisu, When/Why
"And the evening and the morning were the second day.","ꓖꓳ ꓡꓱ ꓠꓬꓲ ꓟꓰꓻ ꓝꓲ ꓠꓯ; ꓝꓲ ꓙꓳ ꓢꓲ꓾ ꓠꓬꓲ: ꓠꓬꓲ ꓕꓲ ꓠꓬꓲ ꓥ ꓡꓳ="
"And the evening and the morning were the third day.","ꓖꓳ ꓡꓱ ꓠꓬꓲ ꓟꓰꓻ ꓝꓲ ꓠꓯ; ꓝꓲ ꓙꓳ ꓢꓲ꓾ ꓢ ꓠꓬꓲ ꓕꓲ ꓠꓬꓲ ꓥ ꓡꓳ="
"And there was","ꓖꓳ ꓡꓱ ꓠꓬꓲ"
"Be fruitful and increase in number;","ꓠꓴ ꓪ ꓠꓬ ꓤ ꓦꓵꓻ ꓠꓱ ꓦꓵ ꓢꓲ ꓮ ꓟꓬ, ꓟꓬ: ꓡ ꓢꓲ ꓠꓬꓲ꓾"
"God blessed them and said to them","ꓪꓴ-ꓢ ꓡꓰ ꓬꓲ ꓪ ꓔꓯ ꓶ; ꓥꓳ ꓙꓱ: ꓖꓶ ꓢꓲ ꓕꓱ ꓡꓱ ꓐꓯˍ ꓡꓳ꓾"
"God blessed them","ꓪꓴ-ꓢ ꓡꓰ ꓬꓲ. ꓪ ꓔꓯ ꓶ; ꓥꓳ ꓙꓱ ꓖꓶˍ ꓡꓳ"
"God called the (noun)“(noun),”","ꓪꓴ-ꓢ ꓡꓰ ꓠꓬꓲ (noun)ꓔꓯ ꓠꓬ (noun) ꓐꓰ ꓟꓬꓱꓺ ꓖꓶ ꓢꓲ꓾"
"God called the dry ground “land,” and the gathered waters he called “seas.” And God saw that it was good.","ꓪꓴ-ꓢ ꓡꓰ ꓟꓲ ꓩꓴ ꓔꓯ꓾ ꓟꓲ ꓠꓯ꓾ ꓐꓰ ꓟꓬꓱ ꓖꓶ ꓢꓲ꓾ ꓕꓲ ꓪꓺ; ꓐꓰ ꓜꓲ; ꓞˍ ꓟ ꓬꓲ ꓙꓬ ꓔꓯ ꓠꓬ ꓬꓲ ꓡꓰ꓾ ꓬꓲꓻ ꓡꓴ ꓐꓱ꓾ ꓐꓰ ꓟꓬꓱ ꓖꓶˍ ꓡꓳ= ꓖꓳ ꓟ ꓠꓬ ꓙꓲˍ ꓟ ꓥ ꓡꓳ꓾ ꓐꓰ ꓪꓴ-ꓢ ꓡꓳ. ꓟꓳˍ ꓡꓳ="
"God called the dry ground “land,”","ꓪꓴ-ꓢ ꓡꓰ ꓟꓲ ꓩꓴ ꓔꓯ꓾ ꓟꓲ ꓠꓯ꓾ ꓐꓰ ꓟꓬꓱ ꓖꓶ ꓢꓲ꓾"
"God called the light “day,” and the darkness he called “night.” And there was evening, and there was morning—the first day.","ꓪꓴ-ꓢ ꓡꓰ ꓠꓬꓲ ꓟꓳ ꓓꓴ ꓔꓯ ꓠꓬ ꓟꓳ; ꓡꓳ꓾ ꓐꓰ ꓟꓬꓱꓺ ꓖꓶ ꓢꓲ꓾ ꓠꓯ ꓞꓲ, ꓟ ꓔꓯ ꓠꓬ ꓬꓲ ꓡꓰ꓾ ꓢ ꓘꓪ꓾ ꓐꓰ ꓟꓬꓱ ꓖꓶˍ ꓡꓳ= ꓖꓳ ꓡꓱ ꓠꓬꓲ ꓟꓰꓻ ꓝꓲ ꓠꓯ; ꓝꓲ ꓙꓳ ꓢꓲ꓾ ꓬꓲ ꓪꓴ. ꓕꓲ ꓠꓬꓲ ꓥ ꓡꓳ="
